Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
86016,1,1,3,201.794,1,1344,7,3,64,49152,21504,2,0.17952,1024,2,1920,48,32,96,Tesla C2050,4,12,1,50.4485,196,8,26,192,192,2,2817720320,7,0,20,6,8,4,0.25,0.179583,1000,1344,192,32,200,1,14,
114688,1,1,3,199.168,1,1792,7,3,64,49152,32256,2,0.177309,1024,2,2400,33,33,99,Tesla C2050,4,12,1,56.0159,202,8,21,256,256,2,2817720320,7,0,20,8,8,4,0.28125,0.177376,1000,1792,198,32,200,1,14,
86016,1,1,3,201.313,1,1344,7,3,64,49152,21504,2,0.179944,1024,2,1920,96,32,48,Tesla C2050,4,12,1,50.3283,196,8,26,192,192,2,2817720320,7,0,20,4,8,6,0.25,0.180012,1000,1344,192,32,200,1,14,
129024,1,1,3,199.999,1,2016,7,3,64,49152,43008,2,0.135826,1024,2,2560,48,32,48,Tesla C2050,4,12,1,66.6664,196,8,20,288,288,2,2817720320,7,0,20,6,8,6,0.333333,0.135896,1000,2016,192,32,200,1,14,
172032,1,1,3,196.975,1,2688,7,3,64,49152,64512,2,0.122582,1024,2,3200,32,32,48,Tesla C2050,4,12,1,73.8657,196,8,16,384,384,2,2817720320,7,0,20,8,8,6,0.375,0.122651,1000,2688,192,32,200,1,14,
114688,1,1,3,200.658,1,1792,7,3,64,49152,32256,2,0.175989,1024,2,2400,99,33,33,Tesla C2050,4,12,1,56.4351,202,8,21,256,256,2,2817720320,7,0,20,4,8,8,0.28125,0.176058,1000,1792,198,32,200,1,14,
172032,1,1,3,200.633,1,2688,7,3,64,49152,64512,2,0.120347,1024,2,3200,48,32,32,Tesla C2050,4,12,1,75.2373,196,8,16,384,384,2,2817720320,7,0,20,6,8,8,0.375,0.120415,1000,2688,192,32,200,1,14,
229376,1,1,3,195.921,1,3584,7,3,64,49152,96768,2,0.120143,1024,2,4000,33,33,33,Tesla C2050,4,12,1,82.6542,202,8,13,512,512,2,2817720320,7,0,20,8,8,8,0.421875,0.12021,1000,3584,198,32,200,1,14,
114688,1,1,3,200.776,1,1792,7,3,64,49152,25088,2,0.219373,1024,2,2592,98,14,98,Tesla C2050,4,12,1,43.9198,200,8,19,256,256,2,2817720320,7,0,20,4,16,4,0.21875,0.219441,1000,1792,196,32,200,1,14,
229376,1,1,3,199.899,1,3584,7,3,64,49152,75264,2,0.0924707,1024,2,4320,28,12,84,Tesla C2050,4,12,1,65.592,172,8,12,512,512,2,2817720320,7,0,20,8,16,4,0.328125,0.092531,1000,3584,168,32,200,1,14,
344064,1,1,3,194.341,1,5376,7,3,64,49152,150528,2,0.0713139,1024,2,5760,28,12,42,Tesla C2050,4,12,1,85.0243,172,8,9,768,768,2,2817720320,7,0,20,8,16,6,0.4375,0.071383,1000,5376,168,32,200,1,14,
229376,1,1,3,199.852,1,3584,7,3,64,49152,75264,2,0.0924861,1024,2,4320,84,12,28,Tesla C2050,4,12,1,65.5764,172,8,12,512,512,2,2817720320,7,0,20,4,16,8,0.328125,0.0925529,1000,3584,168,32,200,1,14,
458752,1,1,3,166.754,1,7168,7,3,64,49152,225792,2,0.073884,1024,2,7200,28,12,28,Tesla C2050,4,12,1,82.0741,172,8,7,1024,1024,2,2817720320,7,0,20,8,16,8,0.492188,0.0739489,1000,7168,168,32,200,1,14,
344064,1,1,3,194.73,1,5376,7,3,64,49152,118272,2,0.148366,1024,2,6240,33,9,99,Tesla C2050,4,12,1,66.9384,202,8,8,768,768,2,2817720320,7,0,20,8,24,4,0.34375,0.148433,1000,5376,198,32,200,1,14,
344064,1,1,3,194.653,1,5376,7,3,64,49152,118272,2,0.148431,1024,2,6240,99,9,33,Tesla C2050,4,12,1,66.9118,202,8,8,768,768,2,2817720320,7,0,20,4,24,8,0.34375,0.148492,1000,5376,198,32,200,1,14,
458752,1,1,3,167.184,1,7168,7,3,64,49152,161280,2,0.126939,1024,2,8160,90,6,30,Tesla C2050,4,12,1,58.7755,184,8,7,1024,1024,2,2817720320,7,0,20,4,32,8,0.351562,0.127008,1000,7168,180,32,200,1,14,
129024,1,1,3,199.7,1,2016,7,3,64,49152,7168,2,0.922933,1024,3,2560,100,50,100,Tesla C2050,4,12,1,11.0944,206,8,20,576,288,3,2817720320,7,0,20,6,8,6,0.0555556,0.922985,1000,4032,200,32,200,1,14,
