fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,shared_stores,
7275472.454545,1,1,23040,9.11039,64.7202,4648857.454545,3840,5,2,5,0,1.26444,64,3696,1,111,3000,54,2,988817.818182,4,14,1,0,6012,3240,3840,768,6,7292344.727273,5,1,64,12,0.140625,1.26449,1000,19200,6000,1,
7080005.375000,2,1,1280,35.1414,35.0476,577309.953125,1280,5,2,5,0,0.327749,64,1360,1,187,750,32,8,221726.609375,4,17,1,0,6002,1280,0,256,1,7076887.640625,5,1,32,4,1,0.327819,1000,0,6000,1,
7144502.078125,2,1,1920,33.6833,33.5935,519188.828125,1920,5,2,5,0,0.341946,64,1904,1,187,500,32,12,283068.515625,4,17,1,0,6002,1920,0,384,1,7145274.578125,5,1,32,6,1,0.342009,1000,0,6000,1,
7198361.296875,2,1,2560,33.1002,33.0119,507194.656250,2560,5,2,5,0,0.347972,64,2448,1,187,375,32,16,282544.593750,4,17,1,0,6002,2560,0,512,1,7198421.093750,5,1,32,8,1,0.348034,1000,0,6000,1,
7227305.046875,2,1,3200,33.2213,33.1328,526024.171875,3200,5,2,5,0,0.346704,64,2992,1,187,300,32,20,262537.671875,4,17,1,0,6002,3200,0,640,1,7227418.375000,5,1,32,10,1,0.346765,1000,0,6000,1,
7260087.453125,2,1,3840,31.8846,31.7996,496581.593750,3840,5,2,5,0,0.361242,64,3536,1,187,250,32,24,292049.765625,4,17,1,0,6002,3840,0,768,1,7260110.375000,5,1,32,12,1,0.361303,1000,0,6000,1,
6981825.250000,2,1,2560,36.7001,36.4065,602086.828125,2560,5,2,5,0,0.313831,64,2640,1,93,750,64,8,187751.140625,4,17,1,0,6002,2560,0,512,1,6984311.734375,5,1,64,4,1,0.313896,1000,0,6000,1,
7027224.500000,2,1,3840,35.3661,35.0831,641591.437500,3840,5,2,5,0,0.325673,64,3696,1,93,500,64,12,146114.906250,4,17,1,0,6002,3840,0,768,1,7028211.250000,5,1,64,6,1,0.325736,1000,0,6000,1,
7075349.437500,2,1,5120,35.431,35.1475,612275.234375,5120,5,2,5,0,0.325074,64,4752,1,93,375,64,16,192283.156250,4,17,1,0,6002,5120,0,1024,1,7075223.109375,5,1,64,8,1,0.325139,1000,0,6000,1,
7109846.500000,2,1,6400,34.3329,34.0583,640095.953125,6400,5,2,5,0,0.335476,64,5808,1,93,300,64,20,166833.984375,4,17,1,0,6002,6400,0,1280,1,7108333.156250,5,1,64,10,1,0.335538,1000,0,6000,1,
