Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,shared_stores,
1,1,9600,19.3456,77.3826,1920,5,2,5,0,0,0.595418,64,1904,1,250,1500,Tesla C2050,24,4,4,9,1,3,6010,2400,1536,384,5,5,1,32,12,0.25,0.595483,1000,7680,6000,10,1,
1,1,16000,12.8819,73.5128,3200,5,2,5,0,0,0.894211,64,3168,1,107,3000,Tesla C2050,56,2,4,9,1,3,6010,2800,2560,640,5,5,1,64,10,0.175,0.894277,1000,12800,6000,10,1,
1,1,19200,21.6455,74.1144,3840,5,2,5,0,0,0.532141,64,3696,1,107,1500,Tesla C2050,56,4,4,9,1,3,6010,5600,3072,768,5,5,1,64,12,0.291667,0.532211,1000,15360,6000,10,1,
1,1,24000,11.3017,61.4814,4800,5,2,5,0,0,1.01926,64,4704,1,68,3000,Tesla C2050,88,2,4,9,1,3,6010,4400,3840,960,5,5,1,96,10,0.183333,1.01931,1000,19200,6000,10,1,
1,1,11520,8.9478,77.8817,1920,5,2,5,0,0,1.28741,64,1904,1,272,3000,Tesla C2050,22,2,4,9,1,3,6012,1320,1920,384,6,5,1,32,12,0.114583,1.28747,1000,9600,6000,10,1,
1,1,23040,10.4951,74.5575,3840,5,2,5,0,0,1.0976,64,3696,1,111,3000,Tesla C2050,54,2,4,9,1,3,6012,3240,3840,768,6,5,1,64,12,0.140625,1.09765,1000,19200,6000,10,1,
2,1,1280,150.523,150.122,1280,5,2,5,0,0,0.0764664,64,1360,1,187,750,Tesla C2050,32,8,4,15,1,3,6002,1280,0,256,1,5,1,32,4,1,0.0765331,1000,0,6000,10,1,
2,1,1920,151.935,151.529,1920,5,2,5,0,0,0.0757564,64,1904,1,187,500,Tesla C2050,32,12,4,15,1,3,6002,1920,0,384,1,5,1,32,6,1,0.0758221,1000,0,6000,10,1,
2,1,2560,151.971,151.566,2560,5,2,5,0,0,0.0757375,64,2448,1,187,375,Tesla C2050,32,16,4,15,1,3,6002,2560,0,512,1,5,1,32,8,1,0.075804,1000,0,6000,10,1,
2,1,3200,149.601,149.202,3200,5,2,5,0,0,0.0769335,64,2992,1,187,300,Tesla C2050,32,20,4,15,1,3,6002,3200,0,640,1,5,1,32,10,1,0.0770049,1000,0,6000,10,1,
2,1,3840,149.523,149.124,3840,5,2,5,0,0,0.0769734,64,3536,1,187,250,Tesla C2050,32,24,4,15,1,3,6002,3840,0,768,1,5,1,32,12,1,0.077045,1000,0,6000,10,1,
2,1,2560,152.808,151.585,2560,5,2,5,0,0,0.0753127,64,2640,1,93,750,Tesla C2050,64,8,4,15,1,3,6002,2560,0,512,1,5,1,64,4,1,0.0753889,1000,0,6000,10,1,
2,1,3840,150.172,148.97,3840,5,2,5,0,0,0.0766446,64,3696,1,93,500,Tesla C2050,64,12,4,15,1,3,6002,3840,0,768,1,5,1,64,6,1,0.0767121,1000,0,6000,10,1,
2,1,5120,150.342,149.14,5120,5,2,5,0,0,0.0765479,64,4752,1,93,375,Tesla C2050,64,16,4,15,1,3,6002,5120,0,1024,1,5,1,64,8,1,0.0766251,1000,0,6000,10,1,
2,1,6400,150.068,148.868,6400,5,2,5,0,0,0.0766926,64,5808,1,93,300,Tesla C2050,64,20,4,15,1,3,6002,6400,0,1280,1,5,1,64,10,1,0.0767651,1000,0,6000,10,1,
2,1,7680,150.995,149.787,7680,5,2,5,0,0,0.0762211,64,6864,1,93,250,Tesla C2050,64,24,4,15,1,3,6002,7680,0,1536,1,5,1,64,12,1,0.0762939,1000,0,6000,10,1,
2,1,3840,150.89,149.683,3840,5,2,5,0,0,0.0762753,64,3920,1,62,750,Tesla C2050,96,8,4,15,1,3,6002,3840,0,768,1,5,1,96,4,1,0.0763469,1000,0,6000,10,1,
2,1,5760,146.621,145.448,5760,5,2,5,0,0,0.0784972,64,5488,1,62,500,Tesla C2050,96,12,4,15,1,3,6002,5760,0,1152,1,5,1,96,6,1,0.0785701,1000,0,6000,10,1,
2,1,7680,151.35,150.139,7680,5,2,5,0,0,0.076044,64,7056,1,62,375,Tesla C2050,96,16,4,15,1,3,6002,7680,0,1536,1,5,1,96,8,1,0.0761149,1000,0,6000,10,1,
2,1,9600,115.452,114.528,9600,5,2,5,0,0,0.099709,64,8624,1,62,300,Tesla C2050,96,20,4,15,1,3,6002,9600,0,1920,1,5,1,96,10,1,0.099782,1000,0,6000,10,1,
2,1,5120,151.987,149.15,5120,5,2,5,0,0,0.0757313,64,5200,1,46,750,Tesla C2050,128,8,4,15,1,3,6002,5120,0,1024,1,5,1,128,4,1,0.0757961,1000,0,6000,10,1,
2,1,7680,152.654,149.804,7680,5,2,5,0,0,0.0754012,64,7280,1,46,500,Tesla C2050,128,12,4,15,1,3,6002,7680,0,1536,1,5,1,128,6,1,0.075465,1000,0,6000,10,1,
2,1,10240,119.923,117.684,10240,5,2,5,0,0,0.0959947,64,9360,1,46,375,Tesla C2050,128,16,4,15,1,3,6002,10240,0,2048,1,5,1,128,8,1,0.0960619,1000,0,6000,10,1,
2,1,2560,78.3721,111.463,1280,5,2,5,0,0,0.146926,64,1360,1,200,1000,Tesla C2050,30,6,4,15,1,3,6004,1800,256,256,2,5,1,32,4,0.703125,0.146991,1000,1280,6000,20,1,
2,1,3840,87.394,111.864,1920,5,2,5,0,0,0.131752,64,1904,1,200,600,Tesla C2050,30,10,4,15,1,3,6004,3000,384,384,2,5,1,32,6,0.78125,0.131817,1000,1920,6000,20,1,
2,1,5120,91.7972,111.756,2560,5,2,5,0,0,0.125422,64,2448,1,200,428,Tesla C2050,30,14,4,15,1,3,6004,4200,512,512,2,5,1,32,8,0.820312,0.125494,1000,2560,6000,20,1,
2,1,6400,94.1862,111.516,3200,5,2,5,0,0,0.122236,64,2992,1,200,333,Tesla C2050,30,18,4,15,1,3,6004,5400,640,640,2,5,1,32,10,0.84375,0.122311,1000,3200,6000,20,1,
2,1,7680,96.0287,111.445,3840,5,2,5,0,0,0.119891,64,3536,1,200,272,Tesla C2050,30,22,4,15,1,3,6004,6600,768,768,2,5,1,32,12,0.859375,0.119964,1000,3840,6000,20,1,
2,1,5120,81.7822,111.66,2560,5,2,5,0,0,0.140797,64,2640,1,96,1000,Tesla C2050,62,6,4,15,1,3,6004,3720,512,512,2,5,1,64,4,0.726562,0.140862,1000,2560,6000,20,1,
2,1,7680,90.7323,111.492,3840,5,2,5,0,0,0.126895,64,3696,1,96,600,Tesla C2050,62,10,4,15,1,3,6004,6200,768,768,2,5,1,64,6,0.807292,0.126967,1000,3840,6000,20,1,
2,1,10240,94.9587,110.981,5120,5,2,5,0,0,0.121239,64,4752,1,96,428,Tesla C2050,62,14,4,15,1,3,6004,8680,1024,1024,2,5,1,64,8,0.847656,0.121316,1000,5120,6000,20,1,
2,1,12800,94.298,107.183,6400,5,2,5,0,0,0.122095,64,5808,1,96,333,Tesla C2050,62,18,4,15,1,3,6004,11160,1280,1280,2,5,1,64,10,0.871875,0.122166,1000,6400,6000,20,1,
2,1,15360,96.6702,107.701,7680,5,2,5,0,0,0.119097,64,6864,1,96,272,Tesla C2050,62,22,4,15,1,3,6004,13640,1536,1536,2,5,1,64,12,0.888021,0.119168,1000,7680,6000,20,1,
2,1,7680,83.0049,111.559,3840,5,2,5,0,0,0.13872,64,3920,1,63,1000,Tesla C2050,94,6,4,15,1,3,6004,5640,768,768,2,5,1,96,4,0.734375,0.138787,1000,3840,6000,20,1,
2,1,11520,88.3625,106.883,5760,5,2,5,0,0,0.130296,64,5488,1,63,600,Tesla C2050,94,10,4,15,1,3,6004,9400,1152,1152,2,5,1,96,6,0.815972,0.130372,1000,5760,6000,20,1,
2,1,15360,93.6381,107.727,7680,5,2,5,0,0,0.122963,64,7056,1,63,428,Tesla C2050,94,14,4,15,1,3,6004,13160,1536,1536,2,5,1,96,8,0.856771,0.123027,1000,7680,6000,20,1,
2,1,19200,79.779,89.2631,9600,5,2,5,0,0,0.144333,64,8624,1,63,333,Tesla C2050,94,18,4,15,1,3,6004,16920,1920,1920,2,5,1,96,10,0.88125,0.144399,1000,9600,6000,20,1,
2,1,10240,83.0792,111.068,5120,5,2,5,0,0,0.138599,64,5200,1,47,1000,Tesla C2050,126,6,4,15,1,3,6004,7560,1024,1024,2,5,1,128,4,0.738281,0.138663,1000,5120,6000,20,1,
2,1,15360,89.5203,107.711,7680,5,2,5,0,0,0.128616,64,7280,1,47,600,Tesla C2050,126,10,4,15,1,3,6004,12600,1536,1536,2,5,1,128,6,0.820312,0.128686,1000,7680,6000,20,1,
2,1,20480,77.6618,89.1119,10240,5,2,5,0,0,0.147868,64,9360,1,47,428,Tesla C2050,126,14,4,15,1,3,5996,17640,2048,2048,2,5,1,128,8,0.861328,0.14794,1000,10240,5992,20,1,
2,1,3840,49.1168,112.117,1280,5,2,5,0,0,0.234476,64,1360,1,214,1500,Tesla C2050,28,4,4,15,1,3,6006,1680,512,256,3,5,1,32,4,0.4375,0.234543,1000,2560,6000,20,1,
2,1,5760,65.6048,112.315,1920,5,2,5,0,0,0.175531,64,1904,1,214,750,Tesla C2050,28,8,4,15,1,3,6006,3360,768,384,3,5,1,32,6,0.583333,0.175597,1000,3840,6000,20,1,
2,1,7680,73.5477,111.923,2560,5,2,5,0,0,0.156561,64,2448,1,214,500,Tesla C2050,28,12,4,15,1,3,6006,5040,1024,512,3,5,1,32,8,0.65625,0.156633,1000,5120,6000,20,1,
2,1,9600,78.2062,111.574,3200,5,2,5,0,0,0.147232,64,2992,1,214,375,Tesla C2050,28,16,4,15,1,3,6006,6720,1280,640,3,5,1,32,10,0.7,0.147303,1000,6400,6000,20,1,
2,1,11520,81.5875,111.742,3840,5,2,5,0,0,0.141128,64,3536,1,214,300,Tesla C2050,28,20,4,15,1,3,6006,8400,1536,768,3,5,1,32,12,0.729167,0.141198,1000,7680,6000,20,1,
2,1,7680,52.5298,112.064,2560,5,2,5,0,0,0.219238,64,2640,1,100,1500,Tesla C2050,60,4,4,15,1,3,6006,3600,1024,512,3,5,1,64,4,0.46875,0.219304,1000,5120,6000,20,1,
2,1,11520,69.7916,111.667,3840,5,2,5,0,0,0.164993,64,3696,1,100,750,Tesla C2050,60,8,4,15,1,3,6006,7200,1536,768,3,5,1,64,6,0.625,0.165063,1000,7680,6000,20,1,
2,1,15360,78.0023,110.937,5120,5,2,5,0,0,0.147621,64,4752,1,100,500,Tesla C2050,60,12,4,15,1,3,6006,10800,2048,1024,3,5,1,64,8,0.703125,0.147688,1000,10240,6000,20,1,
2,1,19200,78.2152,104.287,6400,5,2,5,0,0,0.147215,64,5808,1,100,375,Tesla C2050,60,16,4,15,1,3,6006,14400,2560,1280,3,5,1,64,10,0.75,0.147286,1000,12800,6000,20,1,
2,1,23040,81.4532,104.26,7680,5,2,5,0,0,0.141364,64,6864,1,100,300,Tesla C2050,60,20,4,15,1,3,6006,18000,3072,1536,3,5,1,64,12,0.78125,0.141431,1000,15360,6000,20,1,
2,1,11520,53.7101,111.717,3840,5,2,5,0,0,0.214417,64,3920,1,65,1500,Tesla C2050,92,4,4,15,1,3,6006,5520,1536,768,3,5,1,96,4,0.479167,0.214485,1000,7680,6000,20,1,
2,1,17280,66.894,104.355,5760,5,2,5,0,0,0.172144,64,5488,1,65,750,Tesla C2050,92,8,4,15,1,3,6006,11040,2304,1152,3,5,1,96,6,0.638889,0.172213,1000,11520,6000,20,1,
2,1,23040,75.2488,104.345,7680,5,2,5,0,0,0.153025,64,7056,1,65,500,Tesla C2050,92,12,4,15,1,3,6006,16560,3072,1536,3,5,1,96,8,0.71875,0.153092,1000,15360,6000,20,1,
2,1,28800,68.6504,89.2455,9600,5,2,5,0,0,0.167741,64,8624,1,65,375,Tesla C2050,92,16,4,15,1,3,6006,22080,3840,1920,3,5,1,96,10,0.766667,0.167807,1000,19200,6000,20,1,
2,1,15360,54.086,110.768,5120,5,2,5,0,0,0.21293,64,5200,1,48,1500,Tesla C2050,124,4,4,15,1,3,6006,7440,2048,1024,3,5,1,128,4,0.484375,0.212994,1000,10240,6000,20,1,
2,1,23040,67.8705,104.249,7680,5,2,5,0,0,0.169667,64,7280,1,48,750,Tesla C2050,124,8,4,15,1,3,6006,14880,3072,1536,3,5,1,128,6,0.645833,0.169735,1000,15360,6000,20,1,
2,1,30720,65.7253,89.7369,10240,5,2,5,0,0,0.175202,64,9360,1,48,500,Tesla C2050,124,12,4,15,1,3,6006,22320,4096,2048,3,5,1,128,8,0.726562,0.175275,1000,20480,6000,20,1,
2,1,5120,23.2298,113.981,1280,5,2,5,0,0,0.495847,64,1360,1,230,3000,Tesla C2050,26,2,4,15,1,3,6008,1040,768,256,4,5,1,32,4,0.203125,0.495914,1000,3840,6000,20,1,
2,1,7680,46.2086,113.365,1920,5,2,5,0,0,0.249242,64,1904,1,230,1000,Tesla C2050,26,6,4,15,1,3,6008,3120,1152,384,4,5,1,32,6,0.40625,0.249304,1000,5760,6000,20,1,
2,1,10240,57.5209,112.894,2560,5,2,5,0,0,0.200209,64,2448,1,230,600,Tesla C2050,26,10,4,15,1,3,6008,5200,1536,512,4,5,1,32,8,0.507812,0.200275,1000,7680,6000,20,1,
