Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
344064,1954199.625000,1,1,0,55.5552,1122036.218750,1,5376,27,3,64,49152,344064,0.22009,1024,1,6240,48,8,24,124158.625000,4,20,1,55.5552,194,8,8,0,768,1,2817720320,27,0,27,4,24,8,1,0.220152,1000,0,1954617.484375,192,200,1,14,
114688,1815668.796875,1,1,0,80.6895,733255.437500,1,1792,27,3,64,49152,114688,0.1515,1024,1,3264,48,6,96,103090.421875,4,20,1,80.6895,194,8,16,0,256,1,2817720320,27,0,27,4,32,2,1,0.151576,1000,0,1815927.468750,192,200,1,14,
172032,1713695.484375,1,1,0,74.2598,746588.609375,1,2688,27,3,64,49152,172032,0.164639,1024,1,4352,32,6,96,89401.109375,4,20,1,74.2598,194,8,12,0,384,1,2817720320,27,0,27,6,32,2,1,0.1647,1000,0,1714262.765625,192,200,1,14,
229376,1661498.031250,1,1,0,73.3191,744241.734375,1,3584,27,3,64,49152,229376,0.166744,1024,1,5440,24,6,96,92677.718750,4,20,1,73.3191,194,8,10,0,512,1,2817720320,27,0,27,8,32,2,1,0.166813,1000,0,1661813.843750,192,200,1,14,
229376,1827274.765625,1,1,0,75.8411,754970.640625,1,3584,27,3,64,49152,229376,0.161204,1024,1,4896,48,6,48,80234.609375,4,20,1,75.8411,194,8,11,0,512,1,2817720320,27,0,27,4,32,4,1,0.161266,1000,0,1827581.343750,192,200,1,14,
344064,1719279.453125,1,1,0,73.2011,744793.609375,1,5376,27,3,64,49152,344064,0.167018,1024,1,6528,32,6,48,92990.515625,4,20,1,73.2011,194,8,8,0,768,1,2817720320,27,0,27,6,32,4,1,0.167082,1000,0,1719604.484375,192,200,1,14,
458752,1666864.078125,1,1,0,63.3571,714999.390625,1,7168,27,3,64,49152,458752,0.19298,1024,1,8160,24,6,48,120979.093750,4,20,1,63.3571,194,8,7,0,1024,1,2817720320,27,0,27,8,32,4,1,0.193042,1000,0,1667017.515625,192,200,1,14,
172032,1962710.234375,1,1,0,84.8503,737001.453125,1,2688,27,3,64,49152,172032,0.144075,1024,1,4352,96,6,32,99422.671875,4,20,1,84.8503,194,8,12,0,384,1,2817720320,27,0,27,2,32,6,1,0.144143,1000,0,1963663.796875,192,200,1,14,
344064,1827775.671875,1,1,0,72.9478,738201.890625,1,5376,27,3,64,49152,344064,0.167599,1024,1,6528,48,6,32,98229.796875,4,20,1,72.9478,194,8,8,0,768,1,2817720320,27,0,27,4,32,6,1,0.167662,1000,0,1828112.812500,192,200,1,14,
229376,1974258.000000,1,1,0,81.0993,739769.531250,1,3584,27,3,64,49152,229376,0.150748,1024,1,5440,96,6,24,96907.156250,4,20,1,81.0993,194,8,10,0,512,1,2817720320,27,0,27,2,32,8,1,0.15081,1000,0,1974944.421875,192,200,1,14,
458752,1831211.671875,1,1,0,62.1963,701692.406250,1,7168,27,3,64,49152,458752,0.196584,1024,1,8160,48,6,24,134881.484375,4,20,1,62.1963,194,8,7,0,1024,1,2817720320,27,0,27,4,32,8,1,0.196645,1000,0,1831849.562500,192,200,1,14,
57344,4899522.437500,1,1,0,69.3155,10950258.312500,1,896,27,3,64,49152,10752,1.03202,1024,2,1440,99,33,99,1151255.312500,4,20,1,12.9967,202,8,35,128,128,2,2817720320,27,0,27,4,8,4,0.1875,1.03207,1000,896,4903743.968750,198,200,1,14,
114688,3047253.093750,1,1,0,59.3528,7397433.812500,1,1792,27,3,64,49152,32256,0.803469,1024,2,2400,33,33,99,652764.531250,4,20,1,16.693,202,8,21,256,256,2,2817720320,27,0,27,8,8,4,0.28125,0.803536,1000,1792,3050305.656250,198,200,1,14,
172032,2785000.812500,1,1,0,56.9377,4912156.406250,1,2688,27,3,64,49152,64512,0.572755,1024,2,3200,32,32,48,590888.968750,4,20,1,21.3517,196,8,16,384,384,2,2817720320,27,0,27,8,8,6,0.375,0.572817,1000,2688,2787709.718750,192,200,1,14,
114688,4939274.000000,1,1,0,63.3775,7189023.968750,1,1792,27,3,64,49152,32256,0.752452,1024,2,2400,99,33,33,868911.843750,4,20,1,17.8249,202,8,21,256,256,2,2817720320,27,0,27,4,8,8,0.28125,0.752509,1000,1792,4941870.656250,198,200,1,14,
229376,3060514.562500,1,1,0,53.6265,4548116.093750,1,3584,27,3,64,49152,96768,0.592827,1024,2,4000,33,33,33,819447.656250,4,20,1,22.6237,202,8,13,512,512,2,2817720320,27,0,27,8,8,8,0.421875,0.592893,1000,3584,3062388.125000,198,200,1,14,
229376,1670738.750000,1,1,0,86.9511,2320629.781250,1,3584,27,3,64,49152,75264,0.287116,1024,2,4320,28,12,84,221467.250000,4,20,1,28.5308,172,8,12,512,512,2,2817720320,27,0,27,8,16,4,0.328125,0.287182,1000,3584,1672248.093750,168,200,1,14,
229376,2733128.187500,1,1,0,85.2834,2257469.750000,1,3584,27,3,64,49152,75264,0.292738,1024,2,4320,84,12,28,284985.843750,4,20,1,27.9836,172,8,12,512,512,2,2817720320,27,0,27,4,16,8,0.328125,0.292798,1000,3584,2735117.500000,168,200,1,14,
458752,1669890.968750,1,1,0,68.409,1288810.218750,1,7168,27,3,64,49152,225792,0.243288,1024,2,7200,28,12,28,403066.156250,4,20,1,33.67,172,8,7,1024,1024,2,2817720320,27,0,27,8,16,8,0.492188,0.243348,1000,7168,1671035.718750,168,200,1,14,
344064,4396999.718750,1,1,0,81.327,3489795.312500,1,5376,27,3,64,49152,118272,0.479743,1024,2,6240,99,9,33,487890.687500,4,20,1,27.9561,202,8,8,768,768,2,2817720320,27,0,27,4,24,8,0.34375,0.479802,1000,5376,4399410.843750,198,200,1,14,
172032,4932305.636364,1,1,0,66.8613,24568117.500000,1,2688,27,3,64,49152,14336,2.48105,1024,3,3200,50,50,100,3443887.227273,4,20,1,5.57178,206,8,16,768,384,3,2817720320,27,0,27,8,8,6,0.0833333,2.48108,1000,5376,4948255.545455,200,200,1,14,
229376,4913711.681818,1,1,0,63.8015,15422139.863636,1,3584,27,3,64,49152,28672,1.73333,1024,3,4000,50,50,50,3258091.136364,4,20,1,7.97519,206,8,13,1024,512,3,2817720320,27,0,27,8,8,8,0.125,1.73338,1000,7168,4924420.909091,200,200,1,14,
458752,3925874.136364,1,1,0,80.9839,4763652.227273,1,7168,27,3,64,49152,86016,0.805397,1024,3,7200,48,16,48,1864723.227273,4,20,1,15.1845,198,8,7,2048,1024,3,2817720320,27,0,27,8,16,8,0.1875,0.805467,1000,14336,3929653.000000,192,200,1,14,
458752,9071878.062500,1,1,0,97.8682,27274939.375000,1,7168,27,3,64,49152,17920,3.61601,1024,4,7200,100,20,100,8499811.250000,4,20,1,3.82298,208,8,7,3072,1024,4,2817720320,27,0,27,8,16,8,0.0390625,3.61603,1000,21504,9099523.687500,200,200,1,14,
28672,2698074.015625,2,1,0,31.3667,1844564.296875,1,448,27,3,64,49152,28672,0.440648,1024,1,960,100,25,50,499419.781250,4,20,1,31.3667,202,8,52,0,64,1,2817720320,27,0,27,2,8,2,1,0.440722,1000,0,2698503.109375,200,200,1,14,
57344,2408047.218750,2,1,0,27.2389,1458359.640625,1,896,27,3,64,49152,57344,0.507448,1024,1,1440,50,25,50,847656.015625,4,20,1,27.2389,202,8,35,0,128,1,2817720320,27,0,27,4,8,2,1,0.507509,1000,0,2408966.734375,200,200,1,14,
86016,2012528.468750,2,1,0,24.0146,1152563.875000,1,1344,27,3,64,49152,86016,0.509239,1024,1,1920,32,24,48,891139.312500,4,20,1,24.0146,194,8,26,0,192,1,2817720320,27,0,27,6,8,2,1,0.509299,1000,0,2014178.843750,192,200,1,14,
114688,2228002.968750,2,1,0,20.9124,1147793.296875,1,1792,27,3,64,49152,114688,0.660976,1024,1,2400,25,25,50,1146319.921875,4,20,1,20.9124,202,8,21,0,256,1,2817720320,27,0,27,8,8,2,1,0.661043,1000,0,2229476.265625,200,200,1,14,
57344,2686011.765625,2,1,0,20.3126,1119836.765625,1,896,27,3,64,49152,57344,0.680503,1024,1,1600,100,25,25,1189999.187500,4,20,1,20.3126,202,8,31,0,128,1,2817720320,27,0,27,2,8,4,1,0.680562,1000,0,2687488.078125,200,200,1,14,
114688,2418485.062500,2,1,0,18.4356,976705.406250,1,1792,27,3,64,49152,114688,0.749797,1024,1,2400,50,25,25,1318268.953125,4,20,1,18.4356,202,8,21,0,256,1,2817720320,27,0,27,4,8,4,1,0.749854,1000,0,2419957.265625,200,200,1,14,
172032,2030600.687500,2,1,0,16.9983,756115.656250,1,2688,27,3,64,49152,172032,0.719448,1024,1,3200,32,24,24,1262252.390625,4,20,1,16.9983,194,8,16,0,384,1,2817720320,27,0,27,6,8,4,1,0.719517,1000,0,2032623.453125,192,200,1,14,
229376,2234697.296875,2,1,0,17.3265,896312.859375,1,3584,27,3,64,49152,229376,0.797795,1024,1,4000,25,25,25,1399073.203125,4,20,1,17.3265,202,8,13,0,512,1,2817720320,27,0,27,8,8,4,1,0.797855,1000,0,2236674.562500,200,200,1,14,
86016,2172590.875000,2,1,0,16.7816,740173.203125,1,1344,27,3,64,49152,86016,0.728746,1024,1,2240,96,24,16,1284458.984375,4,20,1,16.7816,194,8,22,0,192,1,2817720320,27,0,27,2,8,6,1,0.728809,1000,0,2174619.750000,192,200,1,14,
172032,2142096.390625,2,1,0,15.9477,663102.343750,1,2688,27,3,64,49152,172032,0.76685,1024,1,3360,48,24,16,1342972.093750,4,20,1,15.9477,194,8,15,0,384,1,2817720320,27,0,27,4,8,6,1,0.76692,1000,0,2143987.843750,192,200,1,14,
258048,2039089.093750,2,1,0,17.952,838168.328125,1,4032,27,3,64,49152,258048,0.681235,1024,1,4480,32,24,16,1190681.046875,4,20,1,17.952,194,8,11,0,576,1,2817720320,27,0,27,6,8,6,1,0.681294,1000,0,2040857.593750,192,200,1,14,
344064,2011121.375000,2,1,0,17.4328,827970.781250,1,5376,27,3,64,49152,344064,0.70152,1024,1,5600,24,24,16,1213912.375000,4,20,1,17.4328,194,8,9,0,768,1,2817720320,27,0,27,8,8,6,1,0.701587,1000,0,2014055.421875,192,200,1,14,
114688,2131843.500000,2,1,0,15.6041,639232.781250,1,1792,27,3,64,49152,114688,0.783752,1024,1,2880,96,24,12,1382030.296875,4,20,1,15.6041,194,8,18,0,256,1,2817720320,27,0,27,2,8,8,1,0.783805,1000,0,2135179.109375,192,200,1,14,
229376,2147131.609375,2,1,0,17.0012,752186.921875,1,3584,27,3,64,49152,229376,0.719338,1024,1,4320,48,24,12,1264509.250000,4,20,1,17.0012,194,8,12,0,512,1,2817720320,27,0,27,4,8,8,1,0.719397,1000,0,2148424.578125,192,200,1,14,
344064,2075441.625000,2,1,0,17.33,823411.062500,1,5376,27,3,64,49152,344064,0.705689,1024,1,5760,32,24,12,1221345.875000,4,20,1,17.33,194,8,9,0,768,1,2817720320,27,0,27,6,8,8,1,0.705748,1000,0,2079100.640625,192,200,1,14,
458752,2026838.375000,2,1,0,16.599,758088.843750,1,7168,27,3,64,49152,458752,0.736767,1024,1,7200,24,24,12,1262953.015625,4,20,1,16.599,194,8,7,0,1024,1,2817720320,27,0,27,8,8,8,1,0.736825,1000,0,2027512.343750,192,200,1,14,
57344,2063883.875000,2,1,0,43.8072,761051.656250,1,896,27,3,64,49152,57344,0.279132,1024,1,1728,96,12,48,474352.687500,4,20,1,43.8072,194,8,29,0,128,1,2817720320,27,0,27,2,16,2,1,0.279191,1000,0,2064399.187500,192,200,1,14,
114688,1976304.921875,2,1,0,37.8532,666842.390625,1,1792,27,3,64,49152,114688,0.323032,1024,1,2592,48,12,48,554236.968750,4,20,1,37.8532,194,8,19,0,256,1,2817720320,27,0,27,4,16,2,1,0.323106,1000,0,1977462.046875,192,200,1,14,
172032,1890581.250000,2,1,0,34.2577,591703.890625,1,2688,27,3,64,49152,172032,0.356956,1024,1,3456,32,12,48,622460.984375,4,20,1,34.2577,194,8,15,0,384,1,2817720320,27,0,27,6,16,2,1,0.357017,1000,0,1891730.390625,192,200,1,14,
229376,1836554.671875,2,1,0,36,644666.343750,1,3584,27,3,64,49152,229376,0.339677,1024,1,4320,24,12,48,590087.906250,4,20,1,36,194,8,12,0,512,1,2817720320,27,0,27,8,16,2,1,0.339739,1000,0,1837387.656250,192,200,1,14,
114688,1979159.171875,2,1,0,31.1752,540473.656250,1,1792,27,3,64,49152,114688,0.39225,1024,1,2880,96,12,24,689588.500000,4,20,1,31.1752,194,8,18,0,256,1,2817720320,27,0,27,2,16,4,1,0.392318,1000,0,1980235.906250,192,200,1,14,
229376,1990739.656250,2,1,0,35.1893,677703.718750,1,3584,27,3,64,49152,229376,0.347492,1024,1,4320,48,12,24,585820.750000,4,20,1,35.1893,194,8,12,0,512,1,2817720320,27,0,27,4,16,4,1,0.347565,1000,0,1991352.343750,192,200,1,14,
344064,1885208.515625,2,1,0,53.9113,782413.453125,1,5376,27,3,64,49152,344064,0.226796,1024,1,5760,32,12,24,404470.640625,4,20,1,53.9113,194,8,9,0,768,1,2817720320,27,0,27,6,16,4,1,0.226865,1000,0,1886102.125000,192,200,1,14,
