fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
11199728.636364,1,1,76032,61.0066,190.34,2200034.954545,3456,13,2,13,0,1.58615,64,9408,1,65,3000,92,2,776902.363636,4,17,1,0,6006,24288,3456,1728,3,11210062.045455,42,1,96,6,0.319444,1.58619,1000,6912,1,
12585610.227273,1,1,101376,90.893,189.058,1478052.136364,4608,13,2,13,0,1.06459,64,11760,1,65,1500,92,4,506455.454545,4,17,1,0,6006,48576,4608,2304,3,12592491.409091,42,1,96,8,0.479167,1.06464,1000,9216,1,
12440198.363636,1,1,126720,91.8146,159.145,1211128.500000,5760,13,2,13,0,1.05391,64,14112,1,65,1000,92,6,442997.090909,4,17,1,0,6006,72864,5760,2880,3,12448553.681818,42,1,96,10,0.575,1.05395,1000,11520,1,
11102973.090909,1,1,101376,62.3606,191.572,2211259.545455,4608,13,2,13,0,1.55171,64,12480,1,48,3000,124,2,720360.909091,4,17,1,0,6006,32736,4608,2304,3,11114160.727273,42,1,128,6,0.322917,1.55175,1000,9216,1,
12423123.500000,1,1,135168,78.396,160.555,1449026.227273,6144,13,2,13,0,1.23431,64,15600,1,48,1500,124,4,505432.045455,4,17,1,0,6006,65472,6144,3072,3,12432988.863636,42,1,128,8,0.484375,1.23435,1000,12288,1,
12294197.312500,1,1,45056,45.485,223.18,2974472.875000,1536,13,2,13,0,2.12744,64,4080,1,230,3000,26,2,1706543.812500,4,17,1,0,6008,9152,2304,768,4,12314198.312500,42,1,32,8,0.203125,2.12747,1000,4608,1,
13427531.000000,1,1,56320,71.0007,217.735,1827124.500000,1920,13,2,13,0,1.36287,64,4896,1,230,1500,26,4,1099170.625000,4,17,1,0,6008,18304,2880,960,4,13440842.625000,42,1,32,10,0.325,1.36292,1000,5760,1,
13062959.062500,1,1,67584,88.7922,217.837,1466795.812500,2304,13,2,13,0,1.08978,64,5712,1,230,1000,26,6,874366.437500,4,17,1,0,6008,27456,3456,1152,4,13072099.437500,42,1,32,12,0.40625,1.08982,1000,6912,1,
12237619.687500,1,1,90112,48.1697,211.69,2980151.812500,3072,13,2,13,0,2.00887,64,7920,1,103,3000,58,2,1213958.687500,4,17,1,0,6008,20416,4608,1536,4,12256123.187500,42,1,64,8,0.226562,2.0089,1000,9216,1,
13397564.375000,1,1,112640,71.7714,197.132,1842645.125000,3840,13,2,13,0,1.34824,64,9504,1,103,1500,58,4,778689.750000,4,17,1,0,6008,40832,5760,1920,4,13408650.062500,42,1,64,10,0.3625,1.34828,1000,11520,1,
13070347.625000,1,1,135168,89.6326,196.953,1479045.500000,4608,13,2,13,0,1.07956,64,11088,1,103,1000,58,6,617646.937500,4,17,1,0,6008,61248,6912,2304,4,13078820.437500,42,1,64,12,0.453125,1.07961,1000,13824,1,
12131719.312500,1,1,135168,46.9776,198.433,2957288.187500,4608,13,2,13,0,2.05985,64,11760,1,66,3000,90,2,1072630.750000,4,17,1,0,6008,31680,6912,2304,4,12152005.812500,42,1,96,8,0.234375,2.05988,1000,13824,1,
13342290.625000,1,1,168960,63.8976,168.69,1780597.125000,5760,13,2,13,0,1.51439,64,14112,1,66,1500,90,4,739059.562500,4,17,1,0,6008,63360,8640,2880,4,13359388.687500,42,1,96,10,0.375,1.51442,1000,17280,1,
12195058.250000,1,1,180224,40.8098,170.639,2891189.000000,6144,13,2,13,0,2.37117,64,15600,1,49,3000,122,2,1098465.437500,4,17,1,0,6008,42944,9216,3072,4,12217051.437500,42,1,128,8,0.238281,2.3712,1000,18432,1,
14699704.769231,1,1,70400,33.2826,221.884,4050387.538462,1920,13,2,13,0,2.90744,64,4896,1,250,3000,24,2,2308387.769231,4,17,1,0,6010,10560,3840,960,5,14733219.538462,42,1,32,10,0.15,2.90746,1000,7680,1,
15137185.692308,1,1,84480,55.452,221.808,2428718.538462,2304,13,2,13,0,1.74502,64,5712,1,250,1500,24,4,1388116.153846,4,17,1,0,6010,21120,4608,1152,5,15155810.384615,42,1,32,12,0.25,1.74508,1000,9216,1,
14321792.000000,1,1,140800,35.3994,202.012,3998952.692308,3840,13,2,13,0,2.73359,64,9504,1,107,3000,56,2,1431637.769231,4,17,1,0,6010,24640,7680,1920,5,14356692.538462,42,1,64,10,0.175,2.73361,1000,15360,1,
14759073.307692,1,1,168960,59.0182,202.078,2353574.615385,4608,13,2,13,0,1.63958,64,11088,1,107,1500,56,4,913623.076923,4,17,1,0,6010,49280,9216,2304,5,14778811.615385,42,1,64,12,0.291667,1.63963,1000,18432,1,
