Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
258048,1778261.046875,1,1,0,82.0149,260228.765625,1,4032,7,3,64,49152,258048,0.110395,1024,1,4992,32,8,48,67717.203125,4,15,1,82.0149,194,8,10,0,576,1,2817720320,7,0,20,6,24,4,1,0.110464,1000,0,1777911.703125,192,200,1,14,
344064,1725555.109375,1,1,0,85.4487,260049.750000,1,5376,7,3,64,49152,344064,0.105953,1024,1,6240,24,8,48,68016.859375,4,15,1,85.4487,194,8,8,0,768,1,2817720320,7,0,20,8,24,4,1,0.106025,1000,0,1725245.328125,192,200,1,14,
129024,2020735.593750,1,1,0,74.0396,244542.281250,1,2016,7,3,64,49152,129024,0.122292,1024,1,3328,96,8,32,83901.875000,4,15,1,74.0396,194,8,15,0,288,1,2817720320,7,0,20,2,24,6,1,0.122363,1000,0,2021672.656250,192,200,1,14,
258048,1881526.890625,1,1,0,81.6969,259400.625000,1,4032,7,3,64,49152,258048,0.110824,1024,1,4992,48,8,32,68376.578125,4,15,1,81.6969,194,8,10,0,576,1,2817720320,7,0,20,4,24,6,1,0.110894,1000,0,1881570.234375,192,200,1,14,
387072,1793654.500000,1,1,0,64.7736,258158.343750,1,6048,7,3,64,49152,387072,0.139798,1024,1,6656,32,8,32,69714.156250,4,15,1,64.7736,194,8,8,0,864,1,2817720320,7,0,20,6,24,6,1,0.139867,1000,0,1793187.875000,192,200,1,14,
172032,2007270.062500,1,1,0,77.3031,246065.421875,1,2688,7,3,64,49152,172032,0.117128,1024,1,4160,96,8,24,82021.656250,4,15,1,77.3031,194,8,12,0,384,1,2817720320,7,0,20,2,24,8,1,0.117197,1000,0,2007542.203125,192,200,1,14,
344064,1882652.531250,1,1,0,86.2589,260278.109375,1,5376,7,3,64,49152,344064,0.10496,1024,1,6240,48,8,24,67890.578125,4,15,1,86.2589,194,8,8,0,768,1,2817720320,7,0,20,4,24,8,1,0.105029,1000,0,1882307.718750,192,200,1,14,
114688,1748979.187500,1,1,0,96.3552,143243.187500,1,1792,7,3,64,49152,114688,0.0939531,1024,1,3264,48,6,96,75528.875000,4,15,1,96.3552,194,8,16,0,256,1,2817720320,7,0,20,4,32,2,1,0.0940239,1000,0,1751414.515625,192,200,1,14,
172032,1658596.375000,1,1,0,99.1259,147895.562500,1,2688,7,3,64,49152,172032,0.0913252,1024,1,4352,32,6,96,71524.906250,4,15,1,99.1259,194,8,12,0,384,1,2817720320,7,0,20,6,32,2,1,0.0913959,1000,0,1658844.484375,192,200,1,14,
229376,1608478.625000,1,1,0,102.101,149658.937500,1,3584,7,3,64,49152,229376,0.0886646,1024,1,5440,24,6,96,69920.500000,4,15,1,102.101,194,8,10,0,512,1,2817720320,7,0,20,8,32,2,1,0.088733,1000,0,1608749.843750,192,200,1,14,
229376,1770921.296875,1,1,0,98.4097,157156.062500,1,3584,7,3,64,49152,229376,0.0919888,1024,1,4896,48,6,48,62608.265625,4,15,1,98.4097,194,8,11,0,512,1,2817720320,7,0,20,4,32,4,1,0.092061,1000,0,1771221.171875,192,200,1,14,
344064,1670768.859375,1,1,0,97.9629,159944.078125,1,5376,7,3,64,49152,344064,0.0924092,1024,1,6528,32,6,48,59226.734375,4,15,1,97.9629,194,8,8,0,768,1,2817720320,7,0,20,6,32,4,1,0.0924809,1000,0,1670878.031250,192,200,1,14,
458752,1620960.281250,1,1,0,75.8122,157299.671875,1,7168,7,3,64,49152,458752,0.119431,1024,1,8160,24,6,48,62027.218750,4,15,1,75.8122,194,8,7,0,1024,1,2817720320,7,0,20,8,32,4,1,0.119502,1000,0,1621107.984375,192,200,1,14,
172032,1855999.718750,1,1,0,102.79,145555.265625,1,2688,7,3,64,49152,172032,0.0880663,1024,1,4352,96,6,32,73883.640625,4,15,1,102.79,194,8,12,0,384,1,2817720320,7,0,20,2,32,6,1,0.0881379,1000,0,1856711.484375,192,200,1,14,
344064,1772370.218750,1,1,0,96.541,159746.671875,1,5376,7,3,64,49152,344064,0.0937716,1024,1,6528,48,6,32,59379.875000,4,15,1,96.541,194,8,8,0,768,1,2817720320,7,0,20,4,32,6,1,0.093843,1000,0,1772772.500000,192,200,1,14,
229376,1870383.281250,1,1,0,97.5147,148609.093750,1,3584,7,3,64,49152,229376,0.0928368,1024,1,5440,96,6,24,71168.765625,4,15,1,97.5147,194,8,10,0,512,1,2817720320,7,0,20,2,32,8,1,0.092906,1000,0,1870887.843750,192,200,1,14,
458752,1772559.984375,1,1,0,75.3982,158506.640625,1,7168,7,3,64,49152,458752,0.120086,1024,1,8160,48,6,24,60870.937500,4,15,1,75.3982,194,8,7,0,1024,1,2817720320,7,0,20,4,32,8,1,0.120158,1000,0,1772792.531250,192,200,1,14,
57344,4814543.312500,1,1,0,112.955,2391061.812500,1,896,7,3,64,49152,10752,0.469074,1024,2,1440,99,33,99,766915.531250,4,15,1,21.1791,202,8,35,128,128,2,2817720320,7,0,20,4,8,4,0.1875,0.469136,1000,896,4822964.093750,198,200,1,14,
86016,3173803.968750,1,1,0,108.017,1657546.593750,1,1344,7,3,64,49152,21504,0.335427,1024,2,1920,48,32,96,523448.031250,4,15,1,27.0043,196,8,26,192,192,2,2817720320,7,0,20,6,8,4,0.25,0.335491,1000,1344,3175564.593750,192,200,1,14,
114688,3018958.343750,1,1,0,96.2343,1630422.937500,1,1792,7,3,64,49152,32256,0.367033,1024,2,2400,33,33,99,495097.000000,4,15,1,27.0659,202,8,21,256,256,2,2817720320,7,0,20,8,8,4,0.28125,0.367099,1000,1792,3021911.281250,198,200,1,14,
86016,4459070.062500,1,1,0,102.608,1620410.781250,1,1344,7,3,64,49152,21504,0.35311,1024,2,1920,96,32,48,560031.281250,4,15,1,25.652,196,8,26,192,192,2,2817720320,7,0,20,4,8,6,0.25,0.353177,1000,1344,4460705.781250,192,200,1,14,
129024,3192802.218750,1,1,0,98.1702,1244339.875000,1,2016,7,3,64,49152,43008,0.276787,1024,2,2560,48,32,48,390640.812500,4,15,1,32.7234,196,8,20,288,288,2,2817720320,7,0,20,6,8,6,0.333333,0.276857,1000,2016,3194337.625000,192,200,1,14,
172032,2805644.312500,1,1,0,96.5889,1101830.000000,1,2688,7,3,64,49152,64512,0.250057,1024,2,3200,32,32,48,351741.031250,4,15,1,36.2208,196,8,16,384,384,2,2817720320,7,0,20,8,8,6,0.375,0.250124,1000,2688,2807330.656250,192,200,1,14,
114688,4842052.562500,1,1,0,103.036,1608654.375000,1,1792,7,3,64,49152,32256,0.342801,1024,2,2400,99,33,33,520360.906250,4,15,1,28.9788,202,8,21,256,256,2,2817720320,7,0,20,4,8,8,0.28125,0.342866,1000,1792,4844535.968750,198,200,1,14,
172032,3212956.250000,1,1,0,103.037,1104226.031250,1,2688,7,3,64,49152,64512,0.234408,1024,2,3200,48,32,32,349537.906250,4,15,1,38.6389,196,8,16,384,384,2,2817720320,7,0,20,6,8,8,0.375,0.234471,1000,2688,3214133.625000,192,200,1,14,
229376,3042107.687500,1,1,0,99.799,1063003.750000,1,3584,7,3,64,49152,96768,0.23592,1024,2,4000,33,33,33,354528.187500,4,15,1,42.1027,202,8,13,512,512,2,2817720320,7,0,20,8,8,8,0.421875,0.235991,1000,3584,3044036.375000,198,200,1,14,
114688,4250295.968750,1,1,0,126.517,1191428.687500,1,1792,7,3,64,49152,25088,0.348175,1024,2,2592,98,14,98,402289.093750,4,15,1,27.6755,200,8,19,256,256,2,2817720320,7,0,20,4,16,4,0.21875,0.348243,1000,1792,4252024.968750,196,200,1,14,
229376,1656255.875000,1,1,0,127.987,506026.843750,1,3584,7,3,64,49152,75264,0.144453,1024,2,4320,28,12,84,163384.812500,4,15,1,41.9959,172,8,12,512,512,2,2817720320,7,0,20,8,16,4,0.328125,0.144521,1000,3584,1656784.812500,168,200,1,14,
344064,1657173.750000,1,1,0,123.224,379727.156250,1,5376,7,3,64,49152,150528,0.112511,1024,2,5760,28,12,42,123275.312500,4,15,1,53.9104,172,8,9,768,768,2,2817720320,7,0,20,8,16,6,0.4375,0.112581,1000,5376,1657170.437500,168,200,1,14,
229376,2700000.093750,1,1,0,123.615,495336.656250,1,3584,7,3,64,49152,75264,0.149569,1024,2,4320,84,12,28,173982.000000,4,15,1,40.5611,172,8,12,512,512,2,2817720320,7,0,20,4,16,8,0.328125,0.149633,1000,3584,2700714.250000,168,200,1,14,
458752,1648378.718750,1,1,0,95.8631,304625.906250,1,7168,7,3,64,49152,225792,0.128566,1024,2,7200,28,12,28,141531.750000,4,15,1,47.1826,172,8,7,1024,1024,2,2817720320,7,0,20,8,16,8,0.492188,0.128634,1000,7168,1649289.500000,168,200,1,14,
344064,2747718.312500,1,1,0,124.962,847349.531250,1,5376,7,3,64,49152,118272,0.231239,1024,2,6240,33,9,99,199044.000000,4,15,1,42.9558,202,8,8,768,768,2,2817720320,7,0,20,8,24,4,0.34375,0.231304,1000,5376,2748949.937500,198,200,1,14,
344064,4338326.375000,1,1,0,122.695,821120.562500,1,5376,7,3,64,49152,118272,0.235513,1024,2,6240,99,9,33,225427.906250,4,15,1,42.1765,202,8,8,768,768,2,2817720320,7,0,20,4,24,8,0.34375,0.235578,1000,5376,4340863.406250,198,200,1,14,
458752,2877258.093750,1,1,0,108.5,374892.906250,1,7168,7,3,64,49152,161280,0.195636,1024,2,8160,90,6,30,137555.062500,4,15,1,38.1447,184,8,7,1024,1024,2,2817720320,7,0,20,4,32,8,0.351562,0.195701,1000,7168,2878142.406250,180,200,1,14,
129024,7541396.636364,1,1,0,128.439,8895798.590909,1,2016,7,3,64,49152,7168,1.43504,1024,3,2560,100,50,100,2194728.681818,4,15,1,7.13548,206,8,20,576,288,3,2817720320,7,0,20,6,8,6,0.0555556,1.43508,1000,4032,7555014.409091,200,200,1,14,
172032,4854467.681818,1,1,0,122.374,5852473.454545,1,2688,7,3,64,49152,14336,1.00408,1024,3,3200,50,50,100,1546635.818182,4,15,1,10.1979,206,8,16,768,384,3,2817720320,7,0,20,8,8,6,0.0833333,1.00413,1000,5376,4863195.227273,200,200,1,14,
172032,7550951.818182,1,1,0,138.017,5903112.681818,1,2688,7,3,64,49152,14336,0.890266,1024,3,3200,100,50,50,1495177.272727,4,15,1,11.5015,206,8,16,768,384,3,2817720320,7,0,20,6,8,8,0.0833333,0.890322,1000,5376,7558890.045455,200,200,1,14,
229376,4882439.772727,1,1,0,120.718,3806152.590909,1,3584,7,3,64,49152,28672,0.678548,1024,3,4000,50,50,50,1120441.227273,4,15,1,15.0898,206,8,13,1024,512,3,2817720320,7,0,20,8,8,8,0.125,0.678606,1000,7168,4888856.090909,200,200,1,14,
344064,3909213.545455,1,1,0,144.333,1977494.772727,1,5376,7,3,64,49152,43008,0.502098,1024,3,5760,48,16,96,644450.954545,4,15,1,18.0416,198,8,9,1536,768,3,2817720320,7,0,20,8,16,6,0.125,0.502156,1000,10752,3914208.136364,192,200,1,14,
458752,3922327.136364,1,1,0,112.892,1133243.181818,1,7168,7,3,64,49152,86016,0.427942,1024,3,7200,48,16,48,611858.818182,4,15,1,21.1672,198,8,7,2048,1024,3,2817720320,7,0,20,8,16,8,0.1875,0.428006,1000,14336,3925956.681818,192,200,1,14,
229376,10337429.687500,1,1,0,141.229,32924223.937500,1,3584,7,3,64,49152,3584,4.6404,1024,4,4000,100,100,100,6221451.125000,4,15,1,2.20671,208,8,13,1536,512,4,2817720320,7,0,20,8,8,8,0.015625,4.6404,1000,10752,10395491.937500,200,200,1,14,
458752,9006879.562500,1,1,0,128.945,6493577.750000,1,7168,7,3,64,49152,17920,2.03295,1024,4,7200,100,20,100,2958320.187500,4,15,1,5.03692,208,8,7,3072,1024,4,2817720320,7,0,20,8,16,8,0.0390625,2.03299,1000,21504,9031599.937500,200,200,1,14,
28672,2594006.484375,2,1,0,48.0379,429927.468750,1,448,7,3,64,49152,28672,0.213096,1024,1,960,100,25,50,192229.906250,4,20,1,48.0379,202,8,52,0,64,1,2817720320,7,0,20,2,8,2,1,0.213165,1000,0,2594326.437500,200,200,1,14,
57344,2293500.859375,2,1,0,66.0393,432480.468750,1,896,7,3,64,49152,57344,0.154993,1024,1,1440,50,25,50,191075.734375,4,20,1,66.0393,202,8,35,0,128,1,2817720320,7,0,20,4,8,2,1,0.155059,1000,0,2293035.000000,200,200,1,14,
86016,1942953.593750,2,1,0,65.0359,342184.687500,1,1344,7,3,64,49152,86016,0.139233,1024,1,1920,32,24,48,199808.406250,4,20,1,65.0359,194,8,26,0,192,1,2817720320,7,0,20,6,8,2,1,0.139303,1000,0,1944118.031250,192,200,1,14,
114688,2162319.000000,2,1,0,59.9985,353289.718750,1,1792,7,3,64,49152,114688,0.1706,1024,1,2400,25,25,50,261760.656250,4,20,1,59.9985,202,8,21,0,256,1,2817720320,7,0,20,8,8,2,1,0.170671,1000,0,2164076.328125,200,200,1,14,
57344,2580458.546875,2,1,0,61.64,395347.468750,1,896,7,3,64,49152,57344,0.166057,1024,1,1600,100,25,25,222283.687500,4,20,1,61.64,202,8,31,0,128,1,2817720320,7,0,20,2,8,4,1,0.166126,1000,0,2581681.296875,200,200,1,14,
114688,2342434.046875,2,1,0,58.8444,347053.312500,1,1792,7,3,64,49152,114688,0.173947,1024,1,2400,50,25,25,267203.281250,4,20,1,58.8444,202,8,21,0,256,1,2817720320,7,0,20,4,8,4,1,0.174018,1000,0,2344758.328125,200,200,1,14,
172032,1964402.609375,2,1,0,52.8373,266970.562500,1,2688,7,3,64,49152,172032,0.171393,1024,1,3200,32,24,24,273515.484375,4,20,1,52.8373,194,8,16,0,384,1,2817720320,7,0,20,6,8,4,1,0.171464,1000,0,1966839.187500,192,200,1,14,
229376,2179231.234375,2,1,0,51.6087,295968.500000,1,3584,7,3,64,49152,229376,0.198345,1024,1,4000,25,25,25,316322.156250,4,20,1,51.6087,202,8,13,0,512,1,2817720320,7,0,20,8,8,4,1,0.198416,1000,0,2181652.890625,200,200,1,14,
86016,2132686.812500,2,1,0,61.5736,320891.796875,1,1344,7,3,64,49152,86016,0.14706,1024,1,2240,96,24,16,222763.781250,4,20,1,61.5736,194,8,22,0,192,1,2817720320,7,0,20,2,8,6,1,0.147136,1000,0,2134393.250000,192,200,1,14,
172032,2066502.609375,2,1,0,51.5441,257849.093750,1,2688,7,3,64,49152,172032,0.175696,1024,1,3360,48,24,16,281316.171875,4,20,1,51.5441,194,8,15,0,384,1,2817720320,7,0,20,4,8,6,1,0.175766,1000,0,2068671.703125,192,200,1,14,
258048,1987737.265625,2,1,0,50.5279,260996.656250,1,4032,7,3,64,49152,258048,0.179232,1024,1,4480,32,24,16,282910.687500,4,20,1,50.5279,194,8,11,0,576,1,2817720320,7,0,20,6,8,6,1,0.179301,1000,0,1988816.812500,192,200,1,14,
