Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
229376,2184313.125000,4,1,0,15.8687,236347.640625,1,3584,5,3,64,49152,229376,0.225782,1024,1,4000,25,25,25,372972.500000,4,20,1,15.8687,202,8,13,0,512,1,2817720320,7,0,7,8,8,2,1,0.225854,1000,0,2185710.781250,200,200,1,14,
114688,2131126.421875,4,1,0,18.0075,259182.328125,1,1792,5,3,64,49152,114688,0.176003,1024,1,2880,96,24,12,285420.406250,4,20,1,18.0075,194,8,18,0,256,1,2817720320,7,0,7,2,8,4,1,0.176087,1000,0,2132849.843750,192,200,1,14,
229376,2090427.187500,4,1,0,15.6136,198891.109375,1,3584,5,3,64,49152,229376,0.203024,1024,1,4320,48,24,12,338622.125000,4,20,1,15.6136,194,8,12,0,512,1,2817720320,7,0,7,4,8,4,1,0.203086,1000,0,2093107.218750,192,200,1,14,
344064,2128803.625000,4,1,0,14.5074,189764.453125,1,5376,5,3,64,49152,344064,0.218498,1024,1,5760,32,24,12,350712.343750,4,20,1,14.5074,194,8,9,0,768,1,2817720320,7,0,7,6,8,4,1,0.218571,1000,0,2131801.843750,192,200,1,14,
458752,2167944.890625,4,1,0,13.9671,166613.031250,1,7168,5,3,64,49152,458752,0.226944,1024,1,7200,24,24,12,373805.203125,4,20,1,13.9671,194,8,7,0,1024,1,2817720320,7,0,7,8,8,4,1,0.227026,1000,0,2171703.906250,192,200,1,14,
172032,2084528.312500,4,1,0,15.5079,197983.468750,1,2688,5,3,64,49152,172032,0.204407,1024,1,4160,96,24,8,342087.015625,4,20,1,15.5079,194,8,12,0,384,1,2817720320,7,0,7,2,8,6,1,0.204469,1000,0,2086580.375000,192,200,1,14,
344064,2305807.796875,4,1,0,14.0072,160487.750000,1,5376,5,3,64,49152,344064,0.22631,1024,1,6240,48,24,8,378945.265625,4,20,1,14.0072,194,8,8,0,768,1,2817720320,7,0,7,4,8,6,1,0.226376,1000,0,2308298.765625,192,200,1,14,
516096,2422146.265625,4,1,0,13.4479,162343.031250,1,8064,5,3,64,49152,516096,0.23573,1024,1,8320,32,24,8,378218.078125,4,20,1,13.4479,194,8,6,0,1152,1,2817720320,7,0,7,6,8,6,1,0.235791,1000,0,2410093.218750,192,200,1,14,
688128,2474125.265625,4,1,0,12.8634,158520.781250,1,10752,5,3,64,49152,688128,0.246441,1024,1,10400,24,24,8,393006.281250,4,20,1,12.8634,194,8,5,0,1536,1,2817720320,7,0,7,8,8,6,1,0.246506,1000,0,2491042.828125,192,200,1,14,
229376,2069620.656250,4,1,0,14.6195,173302.359375,1,3584,5,3,64,49152,229376,0.216834,1024,1,5440,96,24,6,365626.093750,4,20,1,14.6195,194,8,10,0,512,1,2817720320,7,0,7,2,8,8,1,0.216895,1000,0,2071066.218750,192,200,1,14,
