Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
229376,1,1,3,98.9546,1,3584,5,3,64,49152,229376,0,0.0319775,1024,1,4896,48,6,48,Tesla C2050,4,11,1,98.9546,194,8,11,0,512,1,2817720320,7,0,7,4,32,4,1,0.0320439,1000,0,192,7,200,1,14,
344064,1,1,3,99.7008,1,5376,5,3,64,49152,344064,0,0.0317428,1024,1,6528,32,6,48,Tesla C2050,4,11,1,99.7008,194,8,8,0,768,1,2817720320,7,0,7,6,32,4,1,0.0318041,1000,0,192,7,200,1,14,
458752,1,1,3,74.3989,1,7168,5,3,64,49152,458752,0,0.0425524,1024,1,8160,24,6,48,Tesla C2050,4,11,1,74.3989,194,8,7,0,1024,1,2817720320,7,0,7,8,32,4,1,0.0426202,1000,0,192,7,200,1,14,
172032,1,1,3,99.0283,1,2688,5,3,64,49152,172032,0,0.031956,1024,1,4352,96,6,32,Tesla C2050,4,11,1,99.0283,194,8,12,0,384,1,2817720320,7,0,7,2,32,6,1,0.0320201,1000,0,192,7,200,1,14,
344064,1,1,3,98.9053,1,5376,5,3,64,49152,344064,0,0.0319941,1024,1,6528,48,6,32,Tesla C2050,4,11,1,98.9053,194,8,8,0,768,1,2817720320,7,0,7,4,32,6,1,0.0320599,1000,0,192,7,200,1,14,
229376,1,1,3,98.9575,1,3584,5,3,64,49152,229376,0,0.0319752,1024,1,5440,96,6,24,Tesla C2050,4,11,1,98.9575,194,8,10,0,512,1,2817720320,7,0,7,2,32,8,1,0.032043,1000,0,192,7,200,1,14,
458752,1,1,3,74.3972,1,7168,5,3,64,49152,458752,0,0.0425527,1024,1,8160,48,6,24,Tesla C2050,4,11,1,74.3972,194,8,7,0,1024,1,2817720320,7,0,7,4,32,8,1,0.0426211,1000,0,192,7,200,1,14,
57344,1,1,3,85.8766,1,896,5,3,64,49152,10752,0,0.21591,1024,2,1440,99,33,99,Tesla C2050,4,10,1,16.1019,202,8,35,128,128,2,2817720320,7,0,7,4,8,4,0.1875,0.215972,1000,896,198,14,200,1,14,
86016,1,1,3,85.7532,1,1344,5,3,64,49152,21504,0,0.147843,1024,2,1920,48,32,96,Tesla C2050,4,10,1,21.4383,196,8,26,192,192,2,2817720320,7,0,7,6,8,4,0.25,0.147908,1000,1344,192,14,200,1,14,
114688,1,1,3,80.5922,1,1792,5,3,64,49152,32256,0,0.153362,1024,2,2400,33,33,99,Tesla C2050,4,10,1,22.6666,202,8,21,256,256,2,2817720320,7,0,7,8,8,4,0.28125,0.153422,1000,1792,198,14,200,1,14,
86016,1,1,3,85.4407,1,1344,5,3,64,49152,21504,0,0.148384,1024,2,1920,96,32,48,Tesla C2050,4,10,1,21.3602,196,8,26,192,192,2,2817720320,7,0,7,4,8,6,0.25,0.148449,1000,1344,192,14,200,1,14,
129024,1,1,3,82.0511,1,2016,5,3,64,49152,43008,0,0.115867,1024,2,2560,48,32,48,Tesla C2050,4,10,1,27.3504,196,8,20,288,288,2,2817720320,7,0,7,6,8,6,0.333333,0.115936,1000,2016,192,14,200,1,14,
172032,1,1,3,79.2239,1,2688,5,3,64,49152,64512,0,0.106669,1024,2,3200,32,32,48,Tesla C2050,4,10,1,29.709,196,8,16,384,384,2,2817720320,7,0,7,8,8,6,0.375,0.106732,1000,2688,192,14,200,1,14,
